field:ID,label_en,label_zh,label_en_display,:LABEL
nsfc43,nonlinear evolution equations and infinite dimensional dynamical systems,非线性发展方程和无穷维动力系统,Nonlinear evolution equations and infinite dimensional dynamical systems,nsfc
nsfc44,mathematical physics ,数学物理,mathematical physics ,nsfc
nsfc45,gauge field theory and superstring theory,规范场论与超弦理论,Gauge field theory and superstring theory,nsfc
nsfc46,integrable system and its application,可积系统及其应用,Integrable system and its application,nsfc
nsfc47,probability theory and stochastic analysis,概率论与随机分析,Probability theory and stochastic analysis,nsfc
nsfc48,markov process and ergodic theory,马氏过程与遍历论,Markov process and ergodic theory,nsfc
nsfc49,stochastic analysis and stochastic process,随机分析与随机过程,Stochastic analysis and stochastic process,nsfc
nsfc50,stochastic differential equation ,随机微分方程,stochastic differential equation ,nsfc
nsfc51,mathematical statistics,数理统计,mathematical statistics,nsfc
nsfc52,sampling survey and experimental design,抽择调査与试验设计,Sampling survey and experimental design,nsfc
nsfc53,time series and multivariate analysis,时间序列与多元分析,Time series and multivariate analysis,nsfc
nsfc54,data analysis and statistical calculation,数据分析与统计计算,Data analysis and statistical calculation,nsfc
nsfc55,operations research,运筹学,Operations research,nsfc
nsfc56,linear and nonlinear programming,线性与非线性规划,Linear and nonlinear programming,nsfc
nsfc57,combinatorial optimization,组合最优化,Combinatorial optimization,nsfc
nsfc58,reliability theory ,可靠性理论,reliability theory ,nsfc
nsfc59,stochastic optimization,随机最优化,Stochastic optimization,nsfc
nsfc60,mathematical methods in cybernetics,控制论中的数学方法,Mathematical methods in cybernetics,nsfc
nsfc61,control theory of distributed parameter systems,分布参数系统的控制理论,Control theory of distributed parameter systems,nsfc
nsfc62,control theory of stochastic systems,随机系统的控制理论,Control theory of stochastic systems,nsfc
nsfc63,applied mathematical methods,应用数学方法,Applied mathematical methods,nsfc
nsfc64,information theory,信息论,information theory,nsfc
nsfc65,economic mathematics and golden cell mathematics,经济数学与金胞数学,Economic Mathematics and golden cell mathematics,nsfc
nsfc66,biological mathematics,生物数学,Biological mathematics,nsfc
nsfc67,mathematical theory of uncertainty,不确定性的数学理论,Mathematical theory of uncertainty,nsfc
nsfc68,fractal theory and its application,分形论及应用,Fractal theory and its application,nsfc
nsfc69,mathematical logic and computer related mathematics,数理逻辑和与计算机相关的数学,Mathematical logic and computer related mathematics,nsfc
nsfc70,mathematical logic loss,数理逻输,Mathematical logic loss,nsfc
nsfc71,axiomatic set theory,公理集合论,Axiomatic set theory,nsfc
nsfc72,computational complexity and symbolic computation,计算复杂性与符号计算,Computational complexity and symbolic computation,nsfc
nsfc73,machine certification,机器证明,Machine certification,nsfc
nsfc74,combination design,组合设计,Combination design,nsfc
nsfc75,graph theory,图论,graph theory,nsfc
nsfc76,algebraic combination and combinatorial matrix theory,代数组合与组合矩阵论,Algebraic combination and combinatorial matrix theory,nsfc
nsfc77,computational mathematics and scientific engineering calculation,计算数学与科学工程计算,Computational mathematics and scientific engineering calculation,nsfc
nsfc78,numerical calculation of ordinary differential equations,常微分方程数值计算,Numerical calculation of ordinary differential equations,nsfc
nsfc79,numerical calculation of partial differential equations,偏微分方程数值计算,Numerical calculation of partial differential equations,nsfc
nsfc80,numerical calculation in fluid mechanics,流体力学中的数值计算,Numerical calculation in fluid mechanics,nsfc
nsfc81,calculation method of general inverse problem,一般反问题的计算方法,Calculation method of general inverse problem,nsfc
nsfc82,numerical algebra,数值代数,Numerical algebra,nsfc
nsfc83,numerical approximation and computational geometry,数值逼近与计算几何,Numerical approximation and computational geometry,nsfc
nsfc84,spectral method and high precision numerical method,谱方法及高精度数值方法,Spectral method and high precision numerical method,nsfc
nsfc85,finite element and boundary element methods,有限元和边界元方法,Finite element and boundary element methods,nsfc
nsfc86,multigrid technology and domain decomposition,多重网格技术及区域分解,Multigrid technology and domain decomposition,nsfc
nsfc87,adaptive method,自适应方法,Adaptive method,nsfc
nsfc88,parallel algorithm ,并行算法,parallel algorithm ,nsfc
nsfc89,dynamics,力学,Dynamics,nsfc
nsfc90,basic problems and methods in mechanics,力学中的基本问题和方法,Basic problems and methods in mechanics,nsfc
nsfc91,rational mechanics and mathematical methods in mechanics,理性力学与力学中的数学方法,Rational mechanics and mathematical methods in mechanics,nsfc
nsfc92,physical mechanics ,物理力学,physical mechanics ,nsfc
nsfc93,inverse problems in mechanics,力学中的反问题,Inverse problems in mechanics,nsfc
nsfc94,dynamics and control,动力学与控制,Dynamics and control,nsfc
nsfc95,mechanical analysis,分析力学,Mechanical analysis,nsfc
nsfc96,bifurcation and chaos of dynamical system,动力系统的分岔与混沌,Bifurcation and chaos of dynamical system,nsfc
nsfc97,motion stability and its control,运动稳定性及其控制,Motion stability and its control,nsfc
nsfc98,nonlinear vibration and its control,非线性振动及其控制,Nonlinear vibration and its control,nsfc
nsfc99,multibody system dynamics,多体系统动力学,Multibody system dynamics,nsfc
nsfc100,rotor dynamics,转子动力学,Rotor dynamics,nsfc
nsfc101,ballistic mechanics and flight mechanics,弹道力学与飞行力学,Ballistic mechanics and flight mechanics,nsfc
nsfc102,vehicle dynamics and its control,载运工具动力学及其控制,Vehicle dynamics and its control,nsfc
nsfc103,multi field coupling and intelligent structure dynamics,多场耦合与智能结构动力学,Multi field coupling and intelligent structure dynamics,nsfc
nsfc104,solid mechanics,固体力学,solid mechanics,nsfc
nsfc105,elasticity and plasticity,弹性力学与塑性力学,Elasticity and plasticity,nsfc
nsfc106,damage and fracture mechanics,损伤与断裂力学,Damage and fracture mechanics,nsfc
nsfc107,fatigue and reliability,疲劳与可靠性,Fatigue and reliability,nsfc
nsfc108,constitutive relation,本构关系,Constitutive relation,nsfc
nsfc109,mechanics of composite materials,复合材料力学,Mechanics of composite materials,nsfc
nsfc110,intelligent materials and structural mechanics,智能材料与结构力学,Intelligent materials and structural mechanics,nsfc
nsfc111,mechanical behavior of materials and structures in supernormal environment,超常环境下材料和结构的力学行为,Mechanical behavior of materials and structures in supernormal environment,nsfc
nsfc112,micro nano mechanics,微纳米力学,Micro nano mechanics,nsfc
nsfc113,"contact, friction and wear mechanics",接触、摩擦与磨损力学,"Contact, friction and wear mechanics",nsfc
nsfc114,"surface, interface and membrane mechanics",表面、界面与薄膜力学,"Surface, interface and membrane mechanics",nsfc
nsfc115,rock mechanics and soil mechanics,岩体力学和土力学,Rock mechanics and soil mechanics,nsfc
nsfc116,structural mechanics and structural optimization,结构力学与结构优化,Structural mechanics and structural optimization,nsfc
nsfc117,"structural vibration, noise and control",结构振动、噪声与控制,"Structural vibration, noise and control",nsfc
nsfc118,fluid structure coupling mechanics,流固耦合力学,Fluid structure coupling mechanics,nsfc
nsfc119,manufacturing process mechanics,制造工艺力学,Manufacturing process mechanics,nsfc
nsfc120,experimental solid mechanics,实验固体力学,Experimental solid mechanics,nsfc
nsfc121,computational solid mechanics,计算固体力学,Computational Solid Mechanics,nsfc
nsfc122,fluid mechanics,流体力学,fluid mechanics,nsfc
nsfc123,turbulence and flow stability,湍流与流动稳定性,Turbulence and flow stability,nsfc
nsfc124,hydrodynamics,水动力学,Hydrodynamics,nsfc
nsfc125,aerodynamics,空气动力学,aerodynamics,nsfc
nsfc126,nonequilibrium flow and rarefied gas flow,非平衡流与稀薄气体流动,Nonequilibrium flow and rarefied gas flow,nsfc
nsfc127,multiphase flow and seepage,多相流与渗流,Multiphase flow and seepage,nsfc
nsfc128,non newtonian flow and rheology,非牛顿流与流变学,Non Newtonian flow and rheology,nsfc
nsfc129,flow noise and aeroacoustics,流动噪声与气动声学,Flow noise and Aeroacoustics,nsfc
nsfc130,flow control and optimization,流动控制和优化,Flow control and optimization,nsfc
nsfc131,environmental fluid mechanics,环境流体力学,Environmental fluid mechanics,nsfc
nsfc132,industrial fluid mechanics,工业流体力学,Industrial fluid mechanics,nsfc
nsfc133,microgravity fluid mechanics ,微重力流体力学,microgravity fluid mechanics ,nsfc
nsfc134,traffic flow and particle flow,交通流与颗粒流,Traffic flow and particle flow,nsfc
nsfc135,electromagnetic and multi field coupled hydrodynamics,电磁与多场耦合流体力学,Electromagnetic and multi field coupled hydrodynamics,nsfc
nsfc136,experimental fluid mechanics,实验流体力学,Experimental fluid mechanics,nsfc
nsfc137,computational fluid dynamics,计算流体力学,Computational fluid dynamics,nsfc
nsfc138,biomechanics,生物力学,biomechanics,nsfc
nsfc139,tissue and organ system mechanics,组织与器官系统力学,Tissue and organ system mechanics,nsfc
nsfc140,"mechanics of cellular, subcellular and biological macromolecules",细胞、亚细胞、生物大分子力学,"Mechanics of cellular, subcellular and biological macromolecules",nsfc
nsfc141,"bionics, biomaterials and sports biomechanics",仿生、生物材料与运动生物力学,"Bionics, biomaterials and Sports Biomechanics",nsfc
nsfc142,explosion and shock dynamics,爆炸与冲击动力学,Explosion and shock dynamics,nsfc
nsfc143,explosion mechanics,爆炸力学,Explosion mechanics,nsfc
nsfc144,impact dynamics,冲击动力学,Impact dynamics,nsfc
nsfc145,astronomy,天文学,astronomy,nsfc
nsfc146,cosmology,宇宙学,cosmology,nsfc
nsfc147,"cosmological models and parameters, early universe",宇宙学模型和参数、早期宇宙,"Cosmological models and parameters, early universe",nsfc
nsfc148,formation and evolution of cosmic structure and observational cosmology,宇宙结构的形成和演化及观测宇宙学,Formation and evolution of cosmic structure and observational cosmology,nsfc
nsfc149,dark matter and dark energy deficiency in the universe,宇宙暗物质和暗能缺,Dark matter and dark energy deficiency in the universe,nsfc
nsfc150,galaxies and quasars,星系和类星体,Galaxies and quasars,nsfc
nsfc151,the milky way,银河系,The Milky way,nsfc
nsfc152,"galaxy formation, structure and evolution",星系形成、结构和演化,"Galaxy formation, structure and evolution",nsfc
nsfc153,galactic interaction and merging; agn,星系相互作用和并合；活动星系核,Galactic interaction and merging; Agn,nsfc
nsfc154,stars and interstellar matter,恒星与星际物质,Stars and interstellar matter,nsfc
nsfc155,stellar structure and evolution and stellar atmosphere,恒星结构和演化与恒星大气,Stellar structure and evolution and stellar atmosphere,nsfc
nsfc156,"variable star and cataclysmic variable star, double star and multi star system",变星和激变变星、双星和多星系统,"Variable star and cataclysmic variable star, double star and multi star system",nsfc
nsfc157,"star formation and early evolution, interstellar media and interstellar molecules",恒星形成与早期演化、星际介质和星际分子,"Star formation and early evolution, interstellar media and interstellar molecules",nsfc
nsfc158,late evolution and dense objects and related high energy processes,晚期演化和致密天体及其相关高能过程,Late evolution and dense objects and related high energy processes,nsfc
nsfc159,extrasolar planetary system,太阳系外行星系统,Extrasolar planetary system,nsfc
nsfc160,the sun and the solar system,太阳和太阳系,The sun and the solar system,nsfc
nsfc161,solar magnetic field and solar generator,太阳磁场和太阳发电机,Solar magnetic field and solar generator,nsfc
nsfc162,"solar coronal mass ejections, flares, prominences and other activities",太阳日冕物质抛射、耀斑、日珥和其他活动,"Solar coronal mass ejections, flares, prominences and other activities",nsfc
nsfc163,helioseismology and the internal structure of the sun,日震学和太阳内部结构,Helioseismology and the internal structure of the sun,nsfc
nsfc164,physics,物理学,physics,nsfc
nsfc165,structure and properties of soft matter and liquid,软物质和液体的结构与性质,Structure and properties of soft matter and liquid,nsfc
nsfc166,mechanical and thermal properties of condensed matter - phase transition and lattice dynamics,凝聚态物质的力学、热学性质.相变和晶格动力学,Mechanical and thermal properties of condensed matter - phase transition and lattice dynamics,nsfc
nsfc167,transport properties of condensed matter,凝聚态物质的（非电子）输运性质,Transport properties of condensed matter,nsfc
nsfc168,formation of thin films and nanostructures,薄膜和纳米结构的形成,Formation of thin films and nanostructures,nsfc
nsfc169,"characterization and analysis of surface, film and nanostructure",表面、薄膜和纳米结构的表征和分析,"Characterization and analysis of surface, film and nanostructure",nsfc
nsfc170,"non electronic properties of surface, interface, mesoscopic system and nano system",表而、界面、介观系统、纳米系统的非电子性质,"Non electronic properties of surface, interface, mesoscopic system and nano system",nsfc
nsfc171,"physical properties of condensed matter ii: electronic structure, electrical, magnetic and optical properties",凝聚态物性二：电子结构、电学、磁学和光学性质,"Physical properties of condensed matter II: electronic structure, electrical, magnetic and optical properties",nsfc
nsfc172,electronic states of bulk materials,块体材料的电子态,Electronic states of bulk materials,nsfc
nsfc173,strongly correlated electronic system,强关联电子系统,Strongly correlated electronic system,nsfc
nsfc174,"electron transport process: conductance, photoconductivity, magnetic conductance",电子输运过程：电导、光电导、磁电导,"Electron transport process: conductance, photoconductivity, magnetic conductance",nsfc
nsfc175,"electronic structure and electricity of surface, interface and low dimensional system",表面、界面和低维系统的电子结构及电学,"Electronic structure and electricity of surface, interface and low dimensional system",nsfc
nsfc176,"electronic structure, optical and electrical properties of mesoscopic systems and artificial microstructures",介观系统和人工微结构的电子结构、光学和电学性质,"Electronic structure, optical and electrical properties of mesoscopic systems and Artificial Microstructures",nsfc
nsfc177,superconductivity,超导电性,Superconductivity,nsfc
nsfc178,magnetic ordered system,磁有序系统,Magnetic ordered system,nsfc
nsfc179,"magnetic properties of low dimensional, mesoscopic and artificial microstructures",低维、介观和人工微结构的磁性,"Magnetic properties of low dimensional, mesoscopic and Artificial Microstructures",nsfc
nsfc180,"dielectric, piezoelectric, thermoelectric and ferroelectric properties",介电、压电、热电和铁电性质,"Dielectric, piezoelectric, thermoelectric and ferroelectric properties",nsfc
nsfc181,"optics and spectroscopy of condensed matter, matter particle interaction and radiation",凝聚态物质的光学和波谱学、物质与粒子的相互作用和辐射,"Optics and spectroscopy of condensed matter, matter particle interaction and radiation",nsfc
nsfc182,condensed matter physics under extreme conditions,极端条件下的凝聚态物理,Condensed matter physics under extreme conditions,nsfc
nsfc183,condensed matter physics in quantum computation,量子计算中的凝聚态物理问题,Condensed matter physics in quantum computation,nsfc
nsfc184,electronic structure and physics of soft matter and material with physical properties,软物质、有邺性物材料的电子结构利物理,Electronic structure and physics of soft matter and material with physical properties,nsfc
nsfc185,condensed matter physics in life phenomena,生命现象中的凝聚态物理问题,Condensed matter physics in life phenomena,nsfc
nsfc186,new effects and other problems in condensed matter physics,凝聚态物理中的新效应及其他问题,New effects and other problems in condensed matter physics,nsfc
nsfc187,atomic and molecular physics,原子和分子物理,Atomic and molecular physics,nsfc
nsfc188,theory of atomic and molecular structure,原子和分子结构理论,Theory of atomic and molecular structure,nsfc
nsfc189,"interaction and spectrum of atoms, molecules and photons",原子、分子、光子相互作用与光谱,"Interaction and spectrum of atoms, molecules and photons",nsfc
nsfc190,atomic collision and molecular interaction,原子分子碰撞过程及相互作用,Atomic collision and molecular interaction,nsfc
nsfc191,"macromolecules, clusters and special atomic and molecular properties",大分子、团簇与特殊原子分子性质,"Macromolecules, clusters and special atomic and molecular properties",nsfc
nsfc192,atomic and molecular physics under extreme conditions,极端条件下的原子分子物理,Atomic and Molecular Physics under extreme conditions,nsfc
nsfc193,properties and manipulation of atoms and molecules in external field,外场中的原子分子性质及其操控,Properties and manipulation of atoms and molecules in external field,nsfc
nsfc194,atomic and molecular physics in quantum information,量子信息中的原子分子物理问题,Atomic and molecular physics in quantum information,nsfc
nsfc195,other physical problems related to atoms and molecules,与原子、分子有关的其他物理问题,Other physical problems related to atoms and molecules,nsfc
nsfc196,cold atomic molecular physics,冷原子分子物理,Cold Atomic Molecular Physics,nsfc
nsfc197,light propagation and imaging,光的传播和成像,Light propagation and imaging,nsfc
nsfc198,physical problems in information optics,信息光学中的物理问题,Physical problems in Information Optics,nsfc
nsfc199,"physical problems in light sources, optical devices and optical systems",光源、光学器件和光学系统中的物理问题,"Physical problems in light sources, optical devices and optical systems",nsfc
nsfc200,physical problems in fiber optics and integrated optics,纤维光学和集成光学中的物理问题,Physical problems in fiber optics and integrated optics,nsfc
nsfc201,the interaction between light and matter,光与物质的相互作用,The interaction between light and matter,nsfc
nsfc202,super fast optical physics,超强、超快光物理,Super fast optical physics,nsfc
nsfc203,micro nano optics and photonics,微纳光学与光子学,Micro nano optics and Photonics,nsfc
nsfc204,quantum optics and vacancy information,量子光学和缺子信息,Quantum optics and vacancy information,nsfc
nsfc205,nonlinear optics ,非线性光学,nonlinear optics ,nsfc
nsfc206,physical problems in optical materials and solid state luminescence,光学材料中物理问题及固体发光,Physical problems in optical materials and solid state luminescence,nsfc
nsfc207,laser spectroscopy and high resolution and high sensitivity spectroscopy,激光光谱学及髙分辨高灵敏光谱方法,Laser spectroscopy and high resolution and high sensitivity spectroscopy,nsfc
nsfc208,"x-ray, infrared, thz physics",X射线、红外、THz物理,"X-ray, infrared, THz physics",nsfc
nsfc209,application of optics in life science,光学在生命科学中的应用,Application of optics in life science,nsfc
nsfc210,other physical problems and interdisciplinary subjects related to optics,与光学有关的其他物理问题和交叉学科,Other physical problems and interdisciplinary subjects related to optics,nsfc
nsfc211,acoustics,声学,acoustics,nsfc
nsfc212,linear and nonlinear acoustic spin states and superdeformation,线性与非线性声学自旋态和超形变,Linear and nonlinear acoustic spin states and superdeformation,nsfc
nsfc213,underwater and marine acoustics and aerodynamic acoustics,水声和海洋声学及空气动力声学,Underwater and marine acoustics and aerodynamic acoustics,nsfc
nsfc214,"ultrasonics, quantum acoustics and acoustic effects",超声学、量子声学和声学效应,"Ultrasonics, quantum acoustics and acoustic effects",nsfc
nsfc215,"noise, noise effect and its control",噪声、噪声效应及其控制,"Noise, noise effect and its control",nsfc
nsfc216,"physiology, psychoacoustics and bioacoustics",生理、心理声学和生物声学,"Physiology, psychoacoustics and bioacoustics",nsfc
nsfc217,"speech acoustics, musical sounds and acoustic signal processing",语言声学、乐声及声学信号处理,"Speech acoustics, musical sounds and acoustic signal processing",nsfc
nsfc218,"acoustic transducer, acoustic measurement method and acoustic material",声学换能器、声学测量方法和声学材料,"Acoustic transducer, acoustic measurement method and acoustic material",nsfc
nsfc219,acoustics in information science,信息科学中的声学问题,Acoustics in Information Science,nsfc
nsfc220,architectural acoustics and electroacoustics,建筑声学与电声学,Architectural acoustics and electroacoustics,nsfc
nsfc221,other physical problems and interdisciplinary subjects related to acoustics,与声学有关的其他物理问题和交叉学科,Other physical problems and interdisciplinary subjects related to acoustics,nsfc
nsfc222,physics 2,物理学二,Physics 2,nsfc
nsfc223,basic physics,基础物理学,Basic physics,nsfc
nsfc224,mathematical problems and calculation methods in physics,物理学中的数学问题与计算方法,Mathematical problems and calculation methods in Physics,nsfc
nsfc225,classical physics and its phenomenological research,经典物理及其唯象学研究,Classical physics and its phenomenological research,nsfc
nsfc226,quantum physics and its applications,量子物理及其应用,Quantum physics and Its Applications,nsfc
nsfc227,quantum informatics,量子信息学,Quantum informatics,nsfc
nsfc228,statistical physics and complex systems,统计物理学与复杂系统,Statistical physics and complex systems,nsfc
nsfc229,"relativity, gravity and cosmology",相对论、引力与宇宙学,"Relativity, gravity and Cosmology",nsfc
nsfc230,particle physics and field theory,粒子物理学和场论,Particle physics and field theory,nsfc
nsfc231,general theory and method of field and particle,场和粒子的一般理论及方法,General theory and method of field and particle,nsfc
nsfc232,"quantum dynamics, strong interaction and hadron physics",量于色动力学、强相互作用和强子物理,"Quantum dynamics, strong interaction and hadron physics",nsfc
nsfc233,electric weak interaction and its phenomenology,电-弱相互作用及其唯象学,Electric weak interaction and its phenomenology,nsfc
nsfc234,nonstandard model and its phenomenology,非标准模型及其唯象学,Nonstandard model and its phenomenology,nsfc
nsfc235,"string theory, membrane theory and hidden spatial dimension",弦论、膜论及隐藏的空间维度,"String theory, membrane theory and hidden spatial dimension",nsfc
nsfc236,non accelerator particle physics,非加速器粒子物理,Non accelerator particle physics,nsfc
nsfc237,particle astrophysics and cosmology,粒子天体物理利序宙学,Particle Astrophysics and Cosmology,nsfc
nsfc238,nuclear physics,核物理,nuclear physics,nsfc
nsfc239,study on nuclear structure and properties,原子核结构与特性研究,Study on nuclear structure and properties,nsfc
nsfc240,"highly excited, highly self swirling and hyperdeformation of nuclei",原子核高激发态、高自漩态与超形变,"Highly excited, highly self swirling and hyperdeformation of nuclei",nsfc
nsfc241,"nuclear fission, nuclear fusion, nuclear decay",核裂变、核聚变、核衰变,"Nuclear fission, nuclear fusion, nuclear decay",nsfc
nsfc242,heavy ion nuclear physics,重离子核物理,Heavy ion nuclear physics,nsfc
nsfc243,the mechanism of superheavy elements and the synthesis of radioactive beams,放射性核束物理、超重元素合成及反应机制,The mechanism of superheavy elements and the synthesis of radioactive beams,nsfc
nsfc244,intermediate and high energy nuclear physics,中高能核物理,Intermediate and high energy nuclear physics,nsfc
nsfc245,nuclear astrophysics ,核天体物理,nuclear astrophysics ,nsfc
nsfc246,nuclear technology and its application,核技术及其应用,Nuclear technology and its application,nsfc
nsfc247,interaction between ion beam and matter and radiation damage,离子束与物质相互作用和辐照损伤,Interaction between ion beam and matter and radiation damage,nsfc
nsfc248,ion beam nuclear analysis technology,离子束核分析技术,Ion beam nuclear analysis technology,nsfc
nsfc249,nuclear effect analysis technology,核效应分析技术,Nuclear effect analysis technology,nsfc
nsfc250,neutron technology and its application,中子技术及其应用,Neutron technology and its application,nsfc
nsfc251,accelerator mass spectrometry ,加速器质谱技术,accelerator mass spectrometry ,nsfc
nsfc252,ion implantation and ion beam material modification,离子注入及离子束材料改性,Ion implantation and ion beam material modification,nsfc
nsfc253,"application of nuclear technology in environmental science, geoscience and archaeology",核技术在环境科学、地学和考古中的应用,"Application of nuclear technology in Environmental Science, geoscience and Archaeology",nsfc
nsfc254,"application of nuclear technology in industry, agriculture and medicine",核技术在工、农业和医学中的应用,"Application of nuclear technology in industry, agriculture and medicine",nsfc
nsfc255,"new concept, new principle and new method",新概念、新原理、新方法,"New concept, new principle and new method",nsfc
nsfc256,experimental methods and techniques of particle physics and nuclear physics,粒子物理与核物理实验方法与技术,Experimental methods and techniques of particle physics and nuclear physics,nsfc
nsfc257,beam physics sleep cutter technology,束流物理切睡器技术,Beam physics sleep cutter technology,nsfc
nsfc258,"charged particle source, target station and pre acceleration device",荷电粒子源、靶站和预加速装置,"Charged particle source, target station and pre acceleration device",nsfc
nsfc259,beam transmission and scene measurement technology,束流传输和测景技术,Beam transmission and scene measurement technology,nsfc
nsfc260,reactor physics and technology,反应堆物理与技术,Reactor physics and technology,nsfc
nsfc261,spallation neutron source correlation technology,散裂中子源相关技术,Spallation neutron source correlation technology,nsfc
nsfc262,detection technology and spectrometer,探测技术和谱仪,Detection technology and spectrometer,nsfc
nsfc263,radiation agent site and radiation protection,辐射剂址学和辐婀护,Radiation agent site and radiation protection,nsfc
nsfc264,acquisition and processing of experimental data,实验数据获取与处理,Acquisition and processing of experimental data,nsfc
nsfc265,"new principle, new method, new technology and new application",新原理、新方法、新技术、新应用,"New principle, new method, new technology and new application",nsfc
nsfc266,plasma physics,等离子体物理,Plasma physics,nsfc
nsfc267,basic processes and characteristics in plasma,等离子体中的基本过程与特性,Basic processes and characteristics in plasma,nsfc
nsfc268,"plasma generation, heating and confinement",等离子体产生、加热与约束,"Plasma generation, heating and confinement",nsfc
nsfc269,waves and instability in plasma,等离子体中的波与不稳定性,Waves and instability in plasma,nsfc
nsfc270,space and celestial plasma and special plasma,空间和天体等离子体及特殊等离子体,Space and celestial plasma and special plasma,nsfc
nsfc271,synchrotron radiation technology and its application,同步辐射技术及其应用,Synchrotron radiation technology and its application,nsfc
nsfc272,principle and technology of synchrotron radiation source,同步辐射光源原理和技术,Principle and technology of synchrotron radiation source,nsfc
nsfc273,principle and technology of free electron laser,自由电子激光原理和技术,Principle and technology of free electron laser,nsfc
nsfc274,beam line optical technology and experimental methods,束线光学技术和实验方法,Beam line optical technology and experimental methods,nsfc
nsfc275,department of chemical science,化学科学部,Department of Chemical Science,nsfc
nsfc276,synthetic chemistry,合成化学,Synthetic chemistry,nsfc
nsfc277,elemental chemistry,元素化学,Elemental Chemistry,nsfc
nsfc278,chemistry of main group elements,主族元素化学,Chemistry of main group elements,nsfc
nsfc279,transition metal element chemistry,过渡金属元素化学,Transition metal element chemistry,nsfc
nsfc280,rare earth and steel element chemistry,稀土与钢系元索化学,Rare earth and steel element chemistry,nsfc
nsfc281,inorganic synthesis,无机合成,Inorganic synthesis,nsfc
nsfc282,inorganic solid phase synthesis,无机固相合成,Inorganic solid phase synthesis,nsfc
nsfc283,synthesis of inorganic solution,无机溶液合成,Synthesis of inorganic solution,nsfc
nsfc284,inorganic synthesis under unconventional conditions,非常规条件下无机合成,Inorganic synthesis under unconventional conditions,nsfc
nsfc285,crystal growth chemistry,晶体生长化学,Crystal growth chemistry,nsfc
nsfc286,nano and cluster chemistry,纳米与团簇化学,Nano and cluster chemistry,nsfc
